quest_start,investigate,temperate_previews,temperate_entry,temperate_leave,frigid_previews,frigid_entry,frigid_leave,tropical_previews,tropical_entry,tropical_leave,arid_previews,arid_entry,arid_leave,urban_previews,urban_entry,urban_leave,possible_reward_cat,possible_reward_item,quest_end
A brave adventurer! Shall we start your quest?,It seems you've come to a crossroads! You take a look around you and see the possible paths you can take:,"You could take this path, which seems to lead you towards a temperate forest. The trees seem to go on forever, and you wonder lies within their green foliage.","As you venture into the forest, the trees seem to consume you, as you soon get lost within its greenery. Every turn you take soon feels like you’re walking in circles… You swear you just passed that tree with the same patch of moss two turns ago…","You bid the forest goodbye, as you continue on to the next destination.","The wind howls in your ears as you trudge through the thick blanket of snow that covers everything in sight. The frigid air bites at your skin and you start to shiver, but you can’t help but feel invigorated by the sheer beauty of the winter wonderland that surrounds you.","Although the temperatures are frosty and the winds are blistering, your determination and spirit keep you warm as you push forward. You keep going, hoping your expedition will bear fruits.","The snow under your feet becomes less and less, and soon you can see the ground underneath you again. You see the footsteps you left behind, before continuing your trek forwards.","The sound of a rushing waterfall reaches your ears as you follow the path through the lush, tropical rainforest. The leaves of the enormous trees overhead form a canopy that blocks out most of the sunlight, but it’s still warm and humid.","Although the sun beats down on you, the gentle breeze keeps temperatures bearable. You keep advancing, drinking in the sunlight and vibrant tropical scenery. The sound of the ocean nearby keeps you company as you continue your quest.","The sound of the waves get farther and soon the sand gives way to dirt, as you leave the tropics behind. The tropics were fun while they lasted, but now we’re headed into the next climate!","As you make your way along this arid path, the sand crunches beneath your feet with every step. The sun beats down on you relentlessly, and you start to feel parched.","Boy, is the sun hot! Shade is sparse in the vast desert you find yourself in, so it’s a good thing you packed your sunhat! You try to pick up the pace, so you don’t get too dehydrated as you continue your search.","You sigh in relief as you cross over the last sand dune and see vegetation at last. Onto the next location, fingers crossed it is not as dry as this one was!","The sound of traffic and people fills the air as you walk down the bustling street. Everywhere you look, there are towering buildings and flashing neon lights. It’s a sensory overload, but there’s a certain energy that can’t be denied.","Ow, your neck is starting to hurt from craning your head to see how far these skyscrapers climb into the sky. But you have to stay focused, keeping an eye out for anything you can take home with you. The adventures seem to never stop, as you travel through the city.","You’ve roamed through the entire city, and it seems at last there are no more buildings ahead of you. I wonder what the next place on your quest will be!",Awesome! You found a cat! It seems to be a(n) [cat name]. Lucky you!,"As you were walking, you almost trip over an object on the ground. Upon closer inspection, you notice that it is actually a(n) [item name] and take it with you for the road.","Seems like we’ve reached the end of your quest, rest up well before you start another one!"
It seems you’ve started a quest. Let’s start adventuring!,Before you lies a fork in the road. Let’s take a look at your possible options:,"As you peer down this path, you feel as if the forest is alive, seemingly breathing as it teems with flora and fauna. You hope they’re all friendly, if you choose this path…","The temperature is perfect for you to be strolling through the trees as the light filters through the branches, birds chirping away. You keep trekking, on the lookout for any cats or items along the way.","Soon the trees thin out, and you find yourself at the edge of the forest. You take one last look at the expanse of greenery, before your feet take you forward again.","As you walk, you come across a frozen river. The ice looks thick enough to walk on, but be careful not to fall through!","Good thing you brought those sunglasses, because the snow is absolutely blinding under the sun! The hike up and down the mountains have left you out of breath, and so have the views. If you don’t find anything to take home, at least you’ll have these views to remember!","Ahh, finally the temperatures are getting warmer again, as you shrug off your parka. Let’s hope we’re moving on to warmer climates!","You catch a glimpse of a brilliantly colored bird flying through the trees, and soon after, you see a family of monkeys swinging from branch to branch.","Wow! What was that bird that just flew by? There are so many new things for you to snap pictures as you feel the sun on your skin and the sand under your feet. You happily walk along, hoping you can fill your bag with as many things as the photos you just took.","While you did enjoy the sun and sand, it was time for a temporary retreat, in fear of getting sunburn. You’ll be back, but let’s check what else we’ve got in store for now!
","You notice some small creatures scurrying across the sand in the distance, and when you get closer, you see that they’re desert lizards. You wonder how they survive in this harsh environment","A cactus! …Another one! Oh hey look, there’s another! You’re starting to run out of things to keep yourself entertained, as you trudge through the sand dunes you find yourself surrounded in. Let’s keep moving on, and hopefully find something along the way!","Phew! You wipe the sweat as it beads on your forehead. At last, the desert seems to be behind you. You keep progressing on your quest.","You come across a street performer who’s juggling flaming batons. He’s surrounded by a crowd of onlookers, all of them cheering him on. 
","The streets bustle with activity as you meander through them. Your journeying becomes a little sidetracked as you peer into the stores you pass, seeing what wares they’re selling. Hopefully this doesn’t turn into a shopping trip…","At last, the horizon holds no more buildings in sight. Looks like you’ve reached the border of the city. Let’s see where you’re headed to next!",Oh wow! You just stumbled upon a(n) [cat name]. Make sure to take good care of it! ,"You scan your surroundings as you take a quick break, and something catches your eye. You realise it's a(n) [item name], and decide to hold on to it. Who knows if you’ll need it later!","Hm, that’s odd, seems like somehow you’re back at home after all that exploring. Guess we can go questing again another time!"
Starting a quest it seems? Let’s get moving!,"Uh oh, seems you’ve come to a branching pathway, what choice will you make now? Here's where you could go next:","As you walk along this path, the air gets cooler and the leaves start to crunch beneath your feet. It seems like autumn has arrived in this temperate forest, and the vibrant colors of the changing leaves are breathtaking.","The forest floor is carpeted with leaves, twigs, and pine needles. You take a deep breath of the crisp air, feeling refreshed and invigorated. It’s amazing how being surrounded by nature can make you feel so alive!","You emerge from the forest, feeling refreshed and invigorated by the cool, crisp air. It's time to move on, but you'll always cherish the memories of your peaceful trek through the woods.",Brr! You feel a sharp gust of wind blowing in from this pathway. I hope you can handle the frigid temperatures you’ll face if you pick this path!,"As you trek through the frigid tundra, you begin to feel a sense of awe at the beauty of the ice formations around you. It's almost as if you're walking through a frozen, otherworldly landscape.","As you look back one last time at the icy landscape, you can't help but feel a sense of accomplishment for braving the frigid temperatures and rugged terrain.","You can hear the faint sound of waves lapping at the beach from beyond this path ahead of you. Sunny, clear blue skies and warm winds surely await you if you travel down this road!","The heat is sweltering, but the lush greenery provides plenty of shade to keep you cool. You can hear the rustling of leaves and the chirping of exotic birds as you make your way deeper into the jungle. Who knows what kind of creatures you’ll encounter on this adventure?","As you leave the tropical rainforest, the temperature gradually cools down and the air feels fresher. You take one last glance at the turquoise water and the palm trees swaying in the breeze before heading to your next destination.","Oof! A heatwave hits you like a truck as you walk closer to investigate this path. Seems if you choose to continue walking, the heat and dry air will only continue to get worse. Venturing this way seems to lead you to a desert, if you’re prepared for the conditions!","The hot winds whip up the sand and sting your face, but you press on. The sun is high in the sky, and you can feel the heat emanating off of everything around you. But you’re determined to see this quest through to the end, and so you keep moving forward into the arid wilderness.","As the sun sets on the horizon, you bid the desert goodbye. It’s time to rest and refuel before heading off to your next destination!",Glinting lights catch your gaze as you peek down this path. The sunlight bouncing off the skyscraper windows almost blind you before you look away. This path appears to bring you to a sprawling city; who knows what you’ll find there?,The sounds of traffic and the smell of exhaust fill the air as you make your way through the city. The towering buildings and neon lights create a surreal atmosphere that you can't help but be enamored with.,You take a deep breath and step onto the bus that will take you away from the bustling city. The honking cars and busy streets fade away as you head towards your next destination.,"What’s this? You stop to take a break, only to find that a(n) [cat name] was following you this whole time. You gladly take it back with you.","Oh hey, look at that! Seems someone left behind a(n) [item name], and won’t be coming back for it anytime soon. Finders keepers! So you’re on a quest, eh? Here, why don’t I give you a(n) [item name]. Hope it’s useful soon!","All that walking has made you tuckered out for the day. After some rest, let’s start anew. :)"
Going on a quest? I hope it has rewards for you!,"As you walk along your path, you suddenly encounter a fork in the road. It's time to make a decision:","You catch a whiff of something sweet in the air, and soon realize that the path you’re on is lined with apple trees. The ground is littered with ripe fruit, just waiting to be picked and eaten.","The forest seems to go on forever, with no end in sight. But you’re not in a rush, taking your time to appreciate the beauty around you. The rustling of the leaves and the sounds of the creatures around you make for a peaceful and serene atmosphere.","The leaves rustle under your feet as you walk towards the edge of the forest. You look back at the trees, and feel a sense of gratitude for the tranquil moments you had amidst the hustle and bustle of your quest.","The scenery ahead looks icy ahead, and the temperatures seem to match. It looks like if you explore this way, wintry conditions await you. Maybe you’ll find some surprises in the snow?","The snow crunches beneath your boots, and the frigid air stings your cheeks as you venture deeper into the winter wonderland. Who knows what kind of creatures might be hiding in this frozen wilderness?","The frozen tundra slowly fades into the distance as you board the helicopter that will take you back to civilization. You'll miss the quiet beauty of the Arctic, but you're excited to be heading home.","The palm trees waving in the wind seem to beckon you closer, as you hear the cacophony of the different animals and insects that come along with the tropical climate.","The crystal clear waters of the tropical beach stretch out before you, inviting you to take a dip. You can feel the soft sand between your toes as you walk towards the water. The sound of waves crashing on the shore fills your ears as you dive in for a refreshing swim","Leaving behind the tropical paradise, you can't help but feel a little sad, but the thought of new adventures ahead lifts your spirits. Who knows what wonders await you in the next region?","In front of you, the sand dunes go on as far as the eye can see and the only vegetation you can spot are some cacti, and a lone tumbleweed rolls by. It’ll be quite the sandy adventure if you decide to walk down this unbeaten path.","The vast expanse of sand and rock is daunting, but you press on. You’ve always been fascinated by the mysteries of the desert, and now you find yourself in the midst of it all. As you continue your trek, you can’t help but marvel at the beauty of this harsh landscape.","You pack up your gear, grateful for the shade of the last oasis. The arid biome was a tough one, but you’re ready for whatever comes next!","A gravel path soon turns into a road that leads into an urban jungle ahead of you, as tall as it is wide. You’d probably experience a lot of new things wandering through the streets!","You navigate through the maze of buildings, dodging crowds of people and marveling at the architecture. It's a concrete jungle out there, but you're determined to find something unique amidst the hustle and bustle.",The skyscrapers start to fade into the distance as you make your way towards the outskirts of the city. You can’t help but feel a sense of relief as you leave the hustle and bustle behind.,"Just when you were about to give up your search, a(n) [cat name] appeared in front of you! Another successful quest in the books.","So you’re on a quest, eh? Here, why don’t I give you a(n) [item name]. Hope it’s useful soon!","All good things come to an end, and it looks like you’ve just completed your quest. Come back to start a new one in a bit!"
The time has come for you to begin your quest. Are you prepared?,"You find yourself at a crossroads, with multiple paths stretching out before you. Which will you choose to investigate?",,,,,,,,,,,,,,,,"You come across a small furry creature that catches your attention. As you approach, you realize it's a precious cat. Meet your new feline friend, [cat name]!","You stumble upon a hidden treasure chest and open it up to find a(n) [item name] inside. Congratulations, you have found a valuable treasure!",Congratulations on completing your quest! You're now a seasoned adventurer.
It's time to set out on a quest. Are you up for the challenge?,The road ahead is divided into multiple paths. It's time to investigate and choose your next direction.,,,,,,,,,,,,,,,,"After completing your mission, you notice a friendly cat staring back at you. You decide to take it in and give it a new home. Congratulations on your new companion, [cat name]!","During your journey, you come across a merchant selling rare items. You purchase a(n) [item name] and add it to your collection.",You've uncovered some amazing treasures and secrets on this quest. Time to share them with your fellow adventurers!
The call to adventure has arrived. Will you answer it and begin your quest?,Your journey has brought you to a point where you must make a choice. Which path will you investigate?,,,,,,,,,,,,,,,,"As you explore, you hear a soft meow coming from behind a bush. You investigate and discover a(n) [cat name] in need of care. You nurse it back to health and are rewarded with a loyal and loving companion.",You successfully complete a difficult task and are rewarded with a(n) [item name] for your hard work. Well done!,It's time to take a break and bask in your victory. The world is now your oyster.
"The quest is calling, and it's time to answer. Are you ready to begin?","The path ahead splits into multiple directions, each with its own mysteries to uncover. It's up to you to investigate and decide where to go next.",,,,,,,,,,,,,,,,"While on your journey, a curious cat begins to follow you around. After some time, you realize it's not leaving your side. Congratulations, you've made a new friend and [cat name] has found a new home!",You investigate a suspicious looking object and find that it is a(n) [item name] left behind by a previous adventurer. You decide to keep it and make good use of it on your journey.,Great job on your quest! Your bravery and cunning will be remembered in the books.
Your destiny awaits you on this quest. Shall we begin?,,,,,,,,,,,,,,,,,,,
"The journey ahead will be filled with challenges, but also with great rewards. Are you ready to start your quest?",,,,,,,,,,,,,,,,,,,